t_s,ch,vbus_V,current_A,power_W
3636.084050,0,5.999023,-0.0000320,-0.0001920
3636.215830,0,5.999023,-0.0000720,-0.0004319
3636.347664,0,5.999023,-0.0000680,-0.0004079
3636.479538,0,5.998633,-0.0000440,-0.0002639
3636.611370,0,5.999219,-0.0000580,-0.0003480
3636.743174,0,5.998828,-0.0000660,-0.0003959
3636.874994,0,5.998828,-0.0000860,-0.0005159
3637.006831,0,5.999023,-0.0000940,-0.0005639
3637.138666,0,5.998828,-0.0001120,-0.0006719
3637.270502,0,5.998828,-0.0001060,-0.0006359
3637.402333,0,5.998828,-0.0001060,-0.0006359
3637.534169,0,5.998828,-0.0001340,-0.0008038
3637.665991,0,5.998828,-0.0000680,-0.0004079
3637.797829,0,5.998828,-0.0000980,-0.0005879
3637.929812,0,5.998828,-0.0000800,-0.0004799
3638.061442,0,5.998828,-0.0000820,-0.0004919
3638.193279,0,5.998828,-0.0000300,-0.0001800
3638.325099,0,5.998828,-0.0001120,-0.0006719
3638.456931,0,5.998633,-0.0001180,-0.0007078
3638.588762,0,5.999023,-0.0000580,-0.0003479
3638.720582,0,5.998828,-0.0000880,-0.0005279
3638.852426,0,5.998828,-0.0000360,-0.0002160
3638.984263,0,5.999219,-0.0000780,-0.0004679
3639.116072,0,5.999023,-0.0000560,-0.0003359
3639.247891,0,5.998828,-0.0001360,-0.0008158
3639.379727,0,5.998438,-0.0000500,-0.0002999
3639.511584,0,5.998828,-0.0000560,-0.0003359
3639.643417,0,5.998828,-0.0000520,-0.0003119
3639.775265,0,5.998633,-0.0000300,-0.0001800
3639.907050,0,5.999219,0.0000080,0.0000480
3640.039689,0,5.999414,-0.0000540,-0.0003240
3640.170713,0,5.998828,-0.0000920,-0.0005519
3640.302552,0,5.998828,-0.0001000,-0.0005999
3640.434400,0,5.998828,-0.0000540,-0.0003239
3640.566240,0,5.998828,-0.0000940,-0.0005639
3640.698012,0,5.998828,-0.0000960,-0.0005759
3640.829848,0,5.998828,-0.0000760,-0.0004559
3640.961691,0,5.998828,-0.0001040,-0.0006239
3641.093527,0,5.998633,-0.0000940,-0.0005639
3641.225365,0,5.999219,0.0000140,0.0000840
3641.357213,0,5.999219,-0.0000240,-0.0001440
3641.488990,0,5.998828,-0.0000900,-0.0005399
3641.620868,0,5.998828,-0.0000020,-0.0000120
3641.752643,0,5.998828,-0.0001140,-0.0006839
3641.884484,0,5.998633,-0.0000680,-0.0004079
