t_s,current_A_mean,current_A_max,vbus_V_min
490,0.00003381,0.001249,6.3150
491,0.00003739,0.001077,6.3150
492,0.00003492,0.001701,6.3164
493,0.00002633,0.000999,6.3141
494,0.00004069,0.001545,6.3133
495,0.00002875,0.000759,6.3137
496,0.00003853,0.001443,6.3158
497,0.00003458,0.001187,6.3170
498,0.00003397,0.001109,6.3168
499,0.00002339,0.001583,6.3150
500,0.00003700,0.000687,6.3146
501,0.00002949,0.001613,6.3164
502,0.00003176,0.000697,6.3150
503,0.00002934,0.001443,6.3162
504,0.00004366,0.001113,6.3158
505,0.00003070,0.000999,6.3145
506,0.00003978,0.001697,6.3158
507,0.00002265,0.000775,6.3148
508,0.00002927,0.000827,6.3146
509,0.00002697,0.001187,6.3141
510,0.00003863,0.001337,6.3146
511,0.00003698,0.001285,6.3162
512,0.00003476,0.001109,6.3164
513,0.00003097,0.001119,6.3146
514,0.00004458,0.001167,6.3150
515,0.00003611,0.001525,6.3160
516,0.00002890,0.001145,6.3152
517,0.00003581,0.001453,6.3150
518,0.00002669,0.001087,6.3143
519,0.00002789,0.001243,6.3160
520,0.00003275,0.000723,6.3152
521,0.00002671,0.001321,6.3150
522,0.00003224,0.001389,6.3154
523,0.00004036,0.001457,6.3148
524,0.00003037,0.001103,6.3145
525,0.00003134,0.001573,6.3174
526,0.00002982,0.000941,6.3143
527,0.00001529,0.001139,6.3143
528,0.00003149,0.001519,6.3154
529,0.00003883,0.001629,6.3156
530,0.00003744,0.001123,6.3143
531,0.00003083,0.000837,6.3133
532,0.00003392,0.000815,6.3156
533,0.00002776,0.001097,6.3152
534,0.00002310,0.001181,6.3156
535,0.00003313,0.001333,6.3162
536,0.00002347,0.001687,6.3178
537,0.00004273,0.001843,6.3176
538,0.00003687,0.001281,6.3139
539,0.00003287,0.001239,6.3162
540,0.00359110,0.328465,5.3398
541,0.08175019,0.115561,5.8914
542,0.04955561,0.115233,5.8744
543,0.00003329,0.000827,6.2771
544,0.00004826,0.001505,6.2949
545,0.00003334,0.001009,6.3016
546,0.00003285,0.001719,6.3053
547,0.00003853,0.001375,6.3064
548,0.00003456,0.001197,6.3066
549,0.00003172,0.001665,6.3090
550,0.00003680,0.001359,6.3082
551,0.00003344,0.001323,6.3096
552,0.00003248,0.001391,6.3102
553,0.00003245,0.000937,6.3104
554,0.00003505,0.001615,6.3104
555,0.00003342,0.000883,6.3090
556,0.00004839,0.001239,6.3107
557,0.00002549,0.001749,6.3127
558,0.00004041,0.001259,6.3131
559,0.00003500,0.001217,6.3123
560,0.00003500,0.001327,6.3119
561,0.00003418,0.001551,6.3119
562,0.00003858,0.001671,6.3133
563,0.00003934,0.001561,6.3131
564,0.00002772,0.000947,6.3125
565,0.00002554,0.000999,6.3119
566,0.00004380,0.001625,6.3133
567,0.00002628,0.001093,6.3123
568,0.00004445,0.001881,6.3113
569,0.00002828,0.001785,6.3125
570,0.00003502,0.001327,6.3135
571,0.00003875,0.001619,6.3141
572,0.00003351,0.001035,6.3121
573,0.00002725,0.000805,6.3129
574,0.00002379,0.001165,6.3121
575,0.00003476,0.001197,6.3131
576,0.00002389,0.000921,6.3125
577,0.00002399,0.000973,6.3133
578,0.00004068,0.001739,6.3152
579,0.00002767,0.000863,6.3123
580,0.00002824,0.000849,6.3125
581,0.00003392,0.001323,6.3137
582,0.00003557,0.001193,6.3148
583,0.00002883,0.001217,6.3146
584,0.00001347,0.000233,6.3164
585,0.00003113,0.001691,6.3156
586,0.00002967,0.001261,6.3156
587,0.00003614,0.000973,6.3143
588,0.00003340,0.001833,6.3141
589,0.00003285,0.001771,6.3148
590,0.00003180,0.001369,6.3143
591,0.00002836,0.000453,6.3145
592,0.00003228,0.001775,6.3154
593,0.00003038,0.001407,6.3133
594,0.00003218,0.000899,6.3131
595,0.00002557,0.001109,6.3143
596,0.00002064,0.000987,6.3135
597,0.00002907,0.001129,6.3152
598,0.00003110,0.001035,6.3156
599,0.00003618,0.001551,6.3148
600,0.00002413,0.000951,6.3141
601,0.00003798,0.001155,6.3152
602,0.00002819,0.000957,6.3137
603,0.00003376,0.001463,6.3145
604,0.00003549,0.001697,6.3158
605,0.00002100,0.000973,6.3148
606,0.00003651,0.000849,6.3135
607,0.00004329,0.001729,6.3166
608,0.00003693,0.000821,6.3133
609,0.00002636,0.001093,6.3143
610,0.00002992,0.001453,6.3158
611,0.00003476,0.001279,6.3133
612,0.00003409,0.001771,6.3162
613,0.00003149,0.001843,6.3160
614,0.00003727,0.001243,6.3152
615,0.00004043,0.001441,6.3152
616,0.00003581,0.000869,6.3145
617,0.00003021,0.001087,6.3152
618,0.00004322,0.000765,6.3146
619,0.00002646,0.001447,6.3150
620,0.00004149,0.001385,6.3145
621,0.00003502,0.000973,6.3146
622,0.00003039,0.000853,6.3133
623,0.00003345,0.001699,6.3170
624,0.00002814,0.001305,6.3156
625,0.00003527,0.001505,6.3164
626,0.00003650,0.000901,6.3141
627,0.00003396,0.000785,6.3145
628,0.00002971,0.001239,6.3156
629,0.00002939,0.001447,6.3154
630,0.00002924,0.001219,6.3146
631,0.00003808,0.001603,6.3160
632,0.00003176,0.001401,6.3146
633,0.00004347,0.001709,6.3168
634,0.00004645,0.001213,6.3146
635,0.00002700,0.001499,6.3166
