t_s,ch,vbus_V,current_A,power_W
3792.488358,0,5.998438,-0.0000380,-0.0002279
3792.620194,0,5.999023,-0.0000660,-0.0003959
3792.752088,0,5.998828,-0.0000540,-0.0003239
3792.883871,0,5.998828,-0.0000700,-0.0004199
3793.015710,0,5.999023,-0.0000320,-0.0001920
3793.147484,0,5.999023,-0.0000420,-0.0002520
3793.279322,0,5.999023,-0.0000140,-0.0000840
3793.411152,0,5.999023,-0.0000560,-0.0003359
3793.542989,0,5.999023,0.0001160,0.0006959
3793.674828,0,5.998828,-0.0000420,-0.0002520
3793.806662,0,5.999023,-0.0000740,-0.0004439
3793.938496,0,5.998828,-0.0000420,-0.0002520
3794.070343,0,5.999023,-0.0000680,-0.0004079
3794.202118,0,5.999023,-0.0000520,-0.0003119
3794.333955,0,5.998633,-0.0000340,-0.0002040
3794.465791,0,5.998828,-0.0000220,-0.0001320
3794.597630,0,5.998828,-0.0000400,-0.0002400
3794.729465,0,5.998828,-0.0000340,-0.0002040
3794.861254,0,5.998828,-0.0000400,-0.0002400
3794.993090,0,5.998828,-0.0000460,-0.0002759
3795.124926,0,5.998828,-0.0001040,-0.0006239
3795.256764,0,5.998828,-0.0000820,-0.0004919
3795.388596,0,5.998828,-0.0000920,-0.0005519
3795.520435,0,5.998633,0.0000180,0.0001080
3795.652268,0,5.998828,-0.0000520,-0.0003119
3795.784109,0,5.998828,-0.0000340,-0.0002040
3795.915914,0,5.998828,-0.0000620,-0.0003719
3796.049157,0,5.999023,-0.0000660,-0.0003959
3796.179558,0,5.998828,-0.0000300,-0.0001800
3796.311394,0,5.999023,-0.0000300,-0.0001800
3796.443197,0,5.998828,-0.0000240,-0.0001440
3796.575069,0,5.998828,0.0000640,0.0003839
3796.706915,0,5.999023,-0.0000900,-0.0005399
3796.838693,0,5.999023,-0.0000380,-0.0002280
3796.970561,0,5.999023,-0.0000640,-0.0003839
3797.102397,0,5.998828,-0.0000560,-0.0003359
3797.234177,0,5.998633,-0.0000300,-0.0001800
3797.366052,0,5.998828,-0.0000860,-0.0005159
3797.497886,0,5.998828,-0.0000160,-0.0000960
3797.629674,0,5.999219,-0.0000600,-0.0003600
3797.761507,0,5.998633,-0.0000600,-0.0003599
3797.893324,0,5.999023,-0.0000840,-0.0005039
3798.025161,0,5.998828,-0.0000980,-0.0005879
3798.157019,0,5.998828,-0.0000200,-0.0001200
3798.288852,0,5.999023,-0.0000460,-0.0002760
3798.420632,0,5.998828,-0.0000260,-0.0001560
3798.552466,0,5.998828,-0.0000700,-0.0004199
3798.684304,0,5.999023,-0.0000520,-0.0003119
3798.816150,0,5.998828,-0.0000380,-0.0002280
3798.947984,0,5.998828,-0.0000220,-0.0001320
3799.079808,0,5.999219,-0.0000720,-0.0004319
3799.211646,0,5.998438,-0.0000600,-0.0003599
3799.344675,0,5.999023,-0.0000620,-0.0003719
3799.475281,0,5.999023,-0.0000660,-0.0003959
3799.607120,0,5.998633,-0.0000640,-0.0003839
3799.738931,0,5.998828,-0.0000460,-0.0002759
3799.870767,0,5.998828,-0.0000520,-0.0003119
3800.002614,0,5.999023,-0.0000520,-0.0003119
3800.134446,0,5.998828,-0.0000620,-0.0003719
3800.266285,0,5.999023,-0.0000740,-0.0004439
3800.398063,0,5.999023,-0.0000680,-0.0004079
3800.529900,0,5.998828,0.0000960,0.0005759
3800.661773,0,5.999023,-0.0000700,-0.0004199
3800.793553,0,5.999023,-0.0000500,-0.0003000
3800.925399,0,5.999023,-0.0000560,-0.0003359
3801.057231,0,5.999023,-0.0000480,-0.0002880
3801.189065,0,5.999023,-0.0000680,-0.0004079
3801.320902,0,5.998828,-0.0000760,-0.0004559
3801.452963,0,5.999023,-0.0000700,-0.0004199
3801.584571,0,5.999023,0.0000840,0.0005039
3801.716409,0,5.999023,-0.0000760,-0.0004559
3801.848196,0,5.999219,-0.0000420,-0.0002520
3801.980031,0,5.998828,-0.0000720,-0.0004319
3802.111873,0,5.999023,-0.0000420,-0.0002520
3802.243696,0,5.998633,-0.0000340,-0.0002040
3802.375539,0,5.999023,-0.0000380,-0.0002280
3802.507377,0,5.998633,-0.0000740,-0.0004439
3802.639212,0,5.999023,-0.0000880,-0.0005279
3802.770992,0,5.998633,-0.0000260,-0.0001560
3802.902832,0,5.998828,-0.0000400,-0.0002400
3803.034660,0,5.998828,-0.0000540,-0.0003239
3803.166504,0,5.999023,-0.0000620,-0.0003719
3803.298339,0,5.999023,-0.0000500,-0.0003000
3803.430174,0,5.998828,-0.0000300,-0.0001800
3803.562007,0,5.999023,0.0000920,0.0005519
3803.693843,0,5.999023,-0.0000760,-0.0004559
3803.825621,0,5.998828,-0.0000440,-0.0002639
3803.957467,0,5.999023,-0.0000420,-0.0002520
3804.089304,0,5.998828,-0.0000640,-0.0003839
3804.221109,0,5.998633,-0.0000300,-0.0001800
3804.352933,0,5.999023,-0.0000720,-0.0004319
3804.484771,0,5.998828,-0.0000760,-0.0004559
3804.616603,0,5.999023,0.0001320,0.0007919
3804.748464,0,5.998828,-0.0000420,-0.0002520
3804.880258,0,5.999219,-0.0001040,-0.0006239
3805.012094,0,5.998828,-0.0000600,-0.0003599
3805.143951,0,5.998828,-0.0000480,-0.0002879
3805.275763,0,5.999023,-0.0000740,-0.0004439
3805.407600,0,5.999023,-0.0000420,-0.0002520
3805.539438,0,5.999023,-0.0000420,-0.0002520
3805.671261,0,5.998828,-0.0000700,-0.0004199
3805.803046,0,5.999023,-0.0000420,-0.0002520
3805.934878,0,5.999023,-0.0000700,-0.0004199
3806.066753,0,5.998828,-0.0000580,-0.0003479
3806.198588,0,5.998828,-0.0000580,-0.0003479
3806.330371,0,5.999023,-0.0000960,-0.0005759
3806.462204,0,5.998828,-0.0000240,-0.0001440
3806.594044,0,5.998633,0.0001060,0.0006359
3806.725878,0,5.998828,-0.0000500,-0.0002999
3806.857722,0,5.998438,-0.0000420,-0.0002519
3806.989564,0,5.999023,-0.0000960,-0.0005759
3807.121358,0,5.999023,-0.0000440,-0.0002640
3807.253208,0,5.999023,-0.0000600,-0.0003599
3807.384990,0,5.998828,-0.0000820,-0.0004919
3807.516837,0,5.998828,-0.0000300,-0.0001800
3807.648677,0,5.998828,0.0001160,0.0006959
3807.780520,0,5.998633,-0.0000720,-0.0004319
3807.912355,0,5.998828,-0.0000600,-0.0003599
3808.045641,0,5.999023,-0.0000200,-0.0001200
3808.176016,0,5.999023,-0.0000560,-0.0003359
3808.307849,0,5.998828,-0.0000560,-0.0003359
3808.439628,0,5.998828,-0.0000520,-0.0003119
3808.571460,0,5.998828,-0.0000340,-0.0002040
3808.703316,0,5.998828,-0.0000240,-0.0001440
3808.835155,0,5.998633,-0.0000960,-0.0005759
3808.966989,0,5.999023,-0.0000460,-0.0002760
3809.098825,0,5.998828,-0.0000560,-0.0003359
3809.230613,0,5.999023,-0.0000560,-0.0003359
3809.362479,0,5.998633,-0.0000620,-0.0003719
3809.494317,0,5.999023,-0.0000460,-0.0002760
3809.626105,0,5.998828,0.0000940,0.0005639
3809.757942,0,5.998828,-0.0000920,-0.0005519
3809.889766,0,5.998828,-0.0000500,-0.0002999
3810.021600,0,5.998633,-0.0000240,-0.0001440
3810.153927,0,5.998828,-0.0000680,-0.0004079
3810.285239,0,5.998828,-0.0000720,-0.0004319
3810.417076,0,5.999023,-0.0000720,-0.0004319
3810.548917,0,5.998828,-0.0000840,-0.0005039
3810.680758,0,5.998828,-0.0000560,-0.0003359
3810.812549,0,5.999023,-0.0000600,-0.0003599
3810.944390,0,5.998828,-0.0000540,-0.0003239
3811.076235,0,5.998828,-0.0000860,-0.0005159
3811.208071,0,5.998633,-0.0000520,-0.0003119
3811.339873,0,5.998828,-0.0000600,-0.0003599
3811.471715,0,5.998633,-0.0000440,-0.0002639
3811.603552,0,5.999023,-0.0000760,-0.0004559
3811.735398,0,5.998828,-0.0000760,-0.0004559
3811.867178,0,5.999023,-0.0000540,-0.0003239
3811.999026,0,5.999023,-0.0000820,-0.0004919
3812.130861,0,5.999023,-0.0000380,-0.0002280
3812.262695,0,5.999023,-0.0000480,-0.0002880
3812.394507,0,5.998633,-0.0000640,-0.0003839
3812.526341,0,5.999023,-0.0000480,-0.0002880
3812.658163,0,5.999023,-0.0000220,-0.0001320
3812.790013,0,5.998633,-0.0000600,-0.0003599
3812.921813,0,5.999023,-0.0000700,-0.0004199
3813.053650,0,5.998828,-0.0000560,-0.0003359
3813.185492,0,5.999023,-0.0001060,-0.0006359
3813.317328,0,5.998828,-0.0000720,-0.0004319
3813.449430,0,5.998828,-0.0000800,-0.0004799
3813.580969,0,5.998633,0.0001080,0.0006479
3813.712808,0,5.999023,-0.0000600,-0.0003599
3813.844665,0,5.999023,-0.0000560,-0.0003359
3813.976443,0,5.998828,-0.0000460,-0.0002759
3814.108277,0,5.998828,-0.0000480,-0.0002879
3814.240110,0,5.998828,-0.0000740,-0.0004439
3814.371955,0,5.999023,-0.0000160,-0.0000960
3814.503791,0,5.999023,-0.0000680,-0.0004079
3814.635627,0,5.998633,-0.0000540,-0.0003239
3814.767471,0,5.999219,-0.0000620,-0.0003720
3814.899251,0,5.998828,-0.0000680,-0.0004079
3815.031100,0,5.998633,-0.0000700,-0.0004199
3815.162936,0,5.998828,-0.0000440,-0.0002639
3815.294772,0,5.999023,-0.0000520,-0.0003119
3815.426610,0,5.998828,-0.0000520,-0.0003119
3815.558444,0,5.998828,-0.0000760,-0.0004559
3815.690228,0,5.999023,0.0000800,0.0004799
3815.822067,0,5.998828,-0.0000400,-0.0002400
3815.953903,0,5.999023,-0.0000640,-0.0003839
3816.085756,0,5.998633,-0.0000560,-0.0003359
3816.217593,0,5.998633,-0.0000560,-0.0003359
3816.349371,0,5.998633,-0.0000420,-0.0002519
3816.481222,0,5.998633,-0.0000480,-0.0002879
3816.613064,0,5.998828,0.0001060,0.0006359
3816.744911,0,5.999023,-0.0000320,-0.0001920
3816.876717,0,5.998828,-0.0000340,-0.0002040
3817.008557,0,5.998828,-0.0000620,-0.0003719
3817.140372,0,5.999023,-0.0000700,-0.0004199
3817.272209,0,5.998828,-0.0000280,-0.0001680
3817.404052,0,5.999023,-0.0000360,-0.0002160
3817.535866,0,5.998828,-0.0000460,-0.0002759
3817.667659,0,5.998828,-0.0000380,-0.0002280
3817.799492,0,5.998828,-0.0000960,-0.0005759
3817.931329,0,5.999023,-0.0000560,-0.0003359
3818.063171,0,5.998633,-0.0000500,-0.0002999
3818.195004,0,5.999023,-0.0000440,-0.0002640
3818.326856,0,5.998828,-0.0000820,-0.0004919
3818.458638,0,5.999023,-0.0000680,-0.0004079
3818.590467,0,5.999023,0.0000060,0.0000360
